,Date,year,Month,Weak,Count
866,2014-12-07,2014.0,12.0,Sunday,1
21594,2014-12-07,2014.0,12.0,Sunday,1
42177,2014-12-07,2014.0,12.0,Sunday,1
46728,2014-12-07,2014.0,12.0,Sunday,1
23273,2014-12-08,2014.0,12.0,Monday,1
1733,2014-12-08,2014.0,12.0,Monday,1
20002,2014-12-08,2014.0,12.0,Monday,1
40541,2014-12-08,2014.0,12.0,Monday,1
41091,2014-12-08,2014.0,12.0,Monday,1
30432,2014-12-08,2014.0,12.0,Monday,1
17818,2014-12-08,2014.0,12.0,Monday,1
2408,2014-12-09,2014.0,12.0,Tuesday,1
20197,2014-12-09,2014.0,12.0,Tuesday,1
46709,2014-12-09,2014.0,12.0,Tuesday,1
10506,2014-12-09,2014.0,12.0,Tuesday,1
34519,2014-12-09,2014.0,12.0,Tuesday,1
23015,2014-12-09,2014.0,12.0,Tuesday,1
22464,2014-12-09,2014.0,12.0,Tuesday,1
20502,2014-12-09,2014.0,12.0,Tuesday,1
41836,2014-12-10,2014.0,12.0,Wednesday,1
42664,2014-12-10,2014.0,12.0,Wednesday,1
43915,2014-12-10,2014.0,12.0,Wednesday,1
1107,2014-12-10,2014.0,12.0,Wednesday,1
39238,2014-12-10,2014.0,12.0,Wednesday,1
40288,2014-12-10,2014.0,12.0,Wednesday,1
29136,2014-12-10,2014.0,12.0,Wednesday,1
24650,2014-12-10,2014.0,12.0,Wednesday,1
18589,2014-12-10,2014.0,12.0,Wednesday,1
34989,2014-12-11,2014.0,12.0,Thursday,1
35294,2014-12-11,2014.0,12.0,Thursday,1
46378,2014-12-11,2014.0,12.0,Thursday,1
