,Date,year,Month,Weak,Count
1758,2014-11-21,2014,11,Friday,4
10228,2014-11-21,2014,11,Friday,4
13556,2014-11-21,2014,11,Friday,4
8050,2014-11-22,2014,11,Saturday,7
5536,2014-11-22,2014,11,Saturday,7
18107,2014-11-22,2014,11,Saturday,7
861,2014-11-22,2014,11,Saturday,7
27660,2014-11-22,2014,11,Saturday,7
24098,2014-11-22,2014,11,Saturday,7
12013,2014-11-22,2014,11,Saturday,7
27601,2014-11-23,2014,11,Sunday,3
26376,2014-11-23,2014,11,Sunday,3
8579,2014-11-23,2014,11,Sunday,3
12455,2014-11-24,2014,11,Monday,4
13592,2014-11-24,2014,11,Monday,4
1025,2014-11-24,2014,11,Monday,4
1108,2014-11-24,2014,11,Monday,4
25687,2014-11-25,2014,11,Tuesday,2
29182,2014-11-25,2014,11,Tuesday,2
9207,2014-11-26,2014,11,Wednesday,3
7537,2014-11-26,2014,11,Wednesday,3
15280,2014-11-26,2014,11,Wednesday,3
3740,2014-11-27,2014,11,Thursday,2
19919,2014-11-27,2014,11,Thursday,2
9077,2014-11-28,2014,11,Friday,6
7274,2014-11-28,2014,11,Friday,6
23609,2014-11-28,2014,11,Friday,6
29736,2014-11-28,2014,11,Friday,6
23375,2014-11-28,2014,11,Friday,6
21514,2014-11-28,2014,11,Friday,6
12556,2014-11-29,2014,11,Saturday,23
5351,2014-11-29,2014,11,Saturday,23
5766,2014-11-29,2014,11,Saturday,23
25282,2014-11-29,2014,11,Saturday,23
3461,2014-11-29,2014,11,Saturday,23
29778,2014-11-29,2014,11,Saturday,23
5446,2014-11-29,2014,11,Saturday,23
23785,2014-11-29,2014,11,Saturday,23
751,2014-11-29,2014,11,Saturday,23
20700,2014-11-29,2014,11,Saturday,23
20265,2014-11-29,2014,11,Saturday,23
13498,2014-11-29,2014,11,Saturday,23
12828,2014-11-29,2014,11,Saturday,23
21994,2014-11-29,2014,11,Saturday,23
21555,2014-11-29,2014,11,Saturday,23
8920,2014-11-29,2014,11,Saturday,23
13617,2014-11-29,2014,11,Saturday,23
10853,2014-11-29,2014,11,Saturday,23
26508,2014-11-29,2014,11,Saturday,23
9980,2014-11-29,2014,11,Saturday,23
2803,2014-11-29,2014,11,Saturday,23
22215,2014-11-29,2014,11,Saturday,23
28096,2014-11-29,2014,11,Saturday,23
4834,2014-11-30,2014,11,Sunday,12
27558,2014-11-30,2014,11,Sunday,12
4483,2014-11-30,2014,11,Sunday,12
18663,2014-11-30,2014,11,Sunday,12
21191,2014-11-30,2014,11,Sunday,12
1231,2014-11-30,2014,11,Sunday,12
8539,2014-11-30,2014,11,Sunday,12
23951,2014-11-30,2014,11,Sunday,12
923,2014-11-30,2014,11,Sunday,12
22207,2014-11-30,2014,11,Sunday,12
12231,2014-11-30,2014,11,Sunday,12
2490,2014-11-30,2014,11,Sunday,12
29751,2014-12-01,2014,12,Monday,18
22114,2014-12-01,2014,12,Monday,18
12056,2014-12-01,2014,12,Monday,18
28393,2014-12-01,2014,12,Monday,18
6517,2014-12-01,2014,12,Monday,18
