,Date,year,Month,Weak,Count
1947,2016-12-28,2016,12,Wednesday,1
1948,2017-05-14,2017,5,Sunday,1
1949,2018-06-07,2018,6,Thursday,1
1952,2015-06-06,2015,6,Saturday,1
1953,2016-11-06,2016,11,Sunday,1
1954,2016-07-08,2016,7,Friday,1
1955,2017-05-26,2017,5,Friday,1
1960,2015-04-25,2015,4,Saturday,1
1961,2018-05-17,2018,5,Thursday,1
1962,2016-03-19,2016,3,Saturday,1
1964,2015-02-08,2015,2,Sunday,1
1966,2017-10-07,2017,10,Saturday,1
1968,2018-02-26,2018,2,Monday,1
1971,2015-04-10,2015,4,Friday,1
1972,2018-05-12,2018,5,Saturday,1
1973,2017-11-06,2017,11,Monday,1
1974,2017-07-09,2017,7,Sunday,1
1977,2016-04-02,2016,4,Saturday,1
1978,2017-03-28,2017,3,Tuesday,1
1980,2015-07-03,2015,7,Friday,1
1983,2016-11-26,2016,11,Saturday,1
1984,2018-02-08,2018,2,Thursday,1
1987,2016-05-25,2016,5,Wednesday,1
1988,2015-06-01,2015,6,Monday,1
1990,2018-01-07,2018,1,Sunday,1
1992,2016-11-25,2016,11,Friday,1
1993,2014-11-08,2014,11,Saturday,1
1998,2016-04-06,2016,4,Wednesday,1
2001,2017-03-01,2017,3,Wednesday,1
2002,2017-07-09,2017,7,Sunday,1
2003,2017-07-21,2017,7,Friday,1
2005,2017-03-20,2017,3,Monday,1
2006,2015-04-13,2015,4,Monday,1
2008,2018-05-01,2018,5,Tuesday,1
2009,2016-02-26,2016,2,Friday,1
2013,2018-03-11,2018,3,Sunday,1
2014,2014-11-09,2014,11,Sunday,1
2015,2016-09-26,2016,9,Monday,1
2016,2015-11-05,2015,11,Thursday,1
2017,2015-01-04,2015,1,Sunday,1
2019,2016-02-18,2016,2,Thursday,1
2020,2016-03-06,2016,3,Sunday,1
2021,2017-08-27,2017,8,Sunday,1
2022,2016-06-27,2016,6,Monday,1
2024,2017-09-10,2017,9,Sunday,1
2025,2017-11-22,2017,11,Wednesday,1
2028,2016-06-21,2016,6,Tuesday,1
2029,2016-07-23,2016,7,Saturday,1
2030,2015-01-05,2015,1,Monday,1
2031,2015-06-19,2015,6,Friday,1
2033,2017-07-09,2017,7,Sunday,1
2035,2016-03-22,2016,3,Tuesday,1
2036,2015-11-01,2015,11,Sunday,1
2037,2017-10-21,2017,10,Saturday,1
2038,2015-07-28,2015,7,Tuesday,1
2039,2015-07-03,2015,7,Friday,1
2041,2015-04-19,2015,4,Sunday,1
2042,2016-10-28,2016,10,Friday,1
2046,2015-06-03,2015,6,Wednesday,1
2047,2015-06-20,2015,6,Saturday,1
2048,2015-02-10,2015,2,Tuesday,1
2049,2016-09-05,2016,9,Monday,1
2050,2015-10-31,2015,10,Saturday,1
2051,2017-10-08,2017,10,Sunday,1
2053,2015-04-18,2015,4,Saturday,1
2054,2017-06-01,2017,6,Thursday,1
2055,2015-04-26,2015,4,Sunday,1
2057,2015-07-19,2015,7,Sunday,1
2058,2016-11-06,2016,11,Sunday,1
2059,2016-03-24,2016,3,Thursday,1
2060,2015-10-21,2015,10,Wednesday,1
2061,2016-03-26,2016,3,Saturday,1
2062,2018-01-27,2018,1,Saturday,1
2063,2016-09-04,2016,9,Sunday,1
2064,2017-11-24,2017,11,Friday,1
2065,2017-07-09,2017,7,Sunday,1
2066,2015-01-02,2015,1,Friday,1
2067,2018-02-02,2018,2,Friday,1
2068,2016-06-18,2016,6,Saturday,1
2069,2018-06-09,2018,6,Saturday,1
2070,2017-08-12,2017,8,Saturday,1
